"restaurant_name","city","state","zip","lat","long"
"Bombay Grill","N Brunswick","NJ","08902",40.44774,-74.49639
"Togo's","El Segundo","CA","90245",33.914777,-118.39547
"Cafe Allure","Saint George","UT","84770",37.109795,-113.56926
"Flavors Eatery","","","45459",NA,NA
"Cafe Malay","Houston","TX","77042",29.737085,-95.552157
"Shari's Restaurants","Vancouver","WA","98683",45.620538,-122.553865
"Green Restaurant","Tempe","AZ","85281",33.453796,-111.92642
"Los Amigos","Champaign","IL","61820",40.110267,-88.233451
"Sukho Thai","Bellevue","WA","98007",47.62735365,-122.1383822
"Sukhadia's","Iselin","NJ","08830",40.57313951,-74.33114707
"Veggie Grill","El Segundo","CA","90245",33.90668185,-118.3902597
"Linnaea's Cafe","San Luis Obispo","CA","93401",35.27927,-120.6632216
"Native Foods","Costa Mesa","CA","92626",33.67745,-117.886985
"News Corp Building, Ropes & Gray, Fresh & Co","New York","NY","10036",40.75857709,-73.98229415
"Eat Unique","Pittsburgh","PA","15213",40.445586,-79.948857
"Baskin-robbins","Las Vegas","NV","89109",36.10872619,-115.1698763
"Classic Slice","","","53207",NA,NA
"Local Foods","Houston","TX","77005",29.71947846,-95.41653438
"Triskele's","Milwaukee","WI","53204",43.010984,-87.9141932
"Nutshell Restaurant (reported Closed)","Portland","OR","97227",45.550242,-122.666518
"Lemon Grass Restaurant","Moultonborough","NH","03254",43.711735,-71.45558
"Gamestop","Garden City","MI","48135",42.324265,-83.33088
"Pita Jungle","Phoenix","AZ","85044",33.31722451,-111.9769907
"Nikki's Gourmet & Sushi","Wilmington","NC","28403",34.2148915,-77.90580644
"The Coffee Hag","Mankato","MN","56001",44.17003089,-93.99992466
"Vita Cafe","Portland","OR","97211",45.5590372,-122.634221
"Citi Marketplace","Philadelphia","PA","19107",39.94913675,-75.16293743
"Parsley","Denver","CO","80204",39.733928,-104.991866
"Big Orange","Little Rock","AR","72223",34.7674434,-92.45912759
"True Food Kitchen","Phoenix","AZ","85016",33.51025182,-112.0277381
"Kavarna Coffeehouse","Green Bay","WI","54303",44.51750233,-88.02134437
"Juice Journey Cafe","Edgewater","NJ","07020",40.80340106,-73.99127574
"Whole In The Wall","Binghamton","NY","13903",42.08987645,-75.91341409
"Honeygrow","Radnor","PA","19087",40.04133284,-75.36372185
"Port of Subs","Las Vegas","NV","89107",36.171226,-115.208148
"The Cozmic Cafe & Pub","Placerville","CA","95667",38.72890312,-120.7966405
"Seasons 52","Cherry Hill","NJ","08002",39.94034358,-75.0265789
"Zumbro Cafe","Minneapolis","MN","55410",44.92455863,-93.31512451
"True Food Kitchen","","","85254",NA,NA
"Tequila Museo Mayahuel","","","95814",NA,NA
"Lulu's On Main","","","28779",NA,NA
"Soul Infusion Tea House & Bistro","Sylva","NC","28779",35.369622,-83.204043
"Paulie Gee's, Paulie Gee’s","Brooklyn","NY","11222",40.729813,-73.958467
"Mimi's Kabob","Clarksville","MD","21029",39.20439104,-76.94265783
"Superfresh! Organic Cafe At Equilibrium","Brattleboro","VT","05301",42.85095146,-72.55797027
"Morning Glory Cafe","","","80026",NA,NA
"Kyma","Atlanta","GA","30305",33.839787,-84.36913133
"The Cottage On Dixie","Homewood","IL","60430",41.54691051,-87.66469932
"Radial Cafe","","","30307",NA,NA
"Pattycake Bakery","Columbus","OH","43202",40.02351983,-83.0139184
"Lola Coffee, Pita Jungle","Phoenix","AZ","85003",33.45880849,-112.0774019
"Spiral Diner & Bakery","","","76104",NA,NA
"Jamba Juice","Pasadena","CA","91107",34.1509377,-118.0756874
"Pita Jungle","Glendale","AZ","85308",33.63976657,-112.2210385
"Loving Hut","Glendale","AZ","85308",33.65337403,-112.1348602
"Steamies Burger Bar","Telluride","CO","81435",37.93775977,-107.8132355
"Duluth Grill","","","55806",NA,NA
"Puravegan Cafe & Yoga","","","63112",NA,NA
"Belfast Co-op","Belfast","ME","04915",44.42612645,-69.00574617
"Santorini Greek Kitchen","","","46203",NA,NA
"Malabar","Santa Cruz","CA","95060",36.972517,-122.024233
"Nature's Food Market & Juice Bar","Bakersfield","CA","93301",35.37686217,-119.0222243
"The Gypsy Den","Anaheim","CA","92805",33.83382192,-117.91641
"Nature's Table","Tampa","FL","33606",NA,NA
"Earth Fare","Morrisville","NC","27617",NA,NA
"Ritual Café","Des Moines","IA","50309",41.58516,-93.633782
"Mad Greens - Inspired Eats (denver Tech Center)","Greenwood Village","CO","80111",NA,NA
"Benna's Cafe","Philadelphia","PA","19147",NA,NA
"Vitamina Juices & Blends","San Jose","CA","95113",37.330304,-121.886297
"Loop Juice","Chicago","IL","60661",41.88407,-87.64117
"Rosati's Pizza","Lake Zurich","IL","60047",42.197475,-88.07673
"Bouldin Creek Caf��","Austin","TX","78704",30.24646315,-97.75677681
"Lyfe Kitchen","Henderson","NV","89012",36.0224047,-115.0836639
"Good Morning","Ballston Spa","NY","12020",43.016361,-73.844084
"Caf��mantic","Willimantic","CT","06226",41.71290177,-72.2169038
"Moon & River Cafe","Schenectady","NY","12305",42.81591,-73.94583457
"Jocelyn's Mediterranean Restaurant","","","03079",NA,NA
"Le Petit Paris","Key W","FL","33040",24.552683,-81.80042
"Bombay Express","Austin","TX","78753",30.414104,-97.674724
"Curry House","Charlotte","NC","28205",35.19555,-80.766582
"30 East Main","Uniontown","PA","15401",39.901268,-79.72462
"Great Wraps","Glen Allen","VA","23059",37.665751,-77.456932
"Buca Di Beppo","Colonie","NY","12205",42.712494,-73.817055
"Kfc","Grand Rapids","MN","55744",NA,NA
"Barefoot Bill's Island Grill","Saint Augustine","FL","32084",29.893427,-81.3136
"Baby Greens","Austin","TX","78758",30.384127,-97.723393
"Banania Cafe (closed)","Brooklyn","NY","11231",40.6835704,-73.9925973
"Papa John's Pizza","Barberton","OH","44203",NA,-81.605596
"Baja Fresh - Closed","Niles","IL","60714",42.01256,-87.770645
"Black Angus Steakhouse","Albany","NY","12205",42.702202,-73.818893
"John's Pizzeria & Restaurant","Astoria","NY","11102",40.771698,-73.924139
"Unity Cafe - Harvey - Phoenix","Phoenix","IL","60426",41.609363,-87.63333
"Mellow Mushroom","Mansfield","TX","76063",32.56371,-97.142296
"Grandys Rockport In - Hours Reviews & More","Rockport","IN","47635",37.891876,-87.055115
"Pita's","Tampa","FL","33609",NA,NA
"Ellendale's Restaurant","Nashville","TN","37214",36.15116,-86.67007
"Pizza Factory","Deer Park","WA","99006",47.947197,-117.47991
"Greek Captain Seafood Restaurant","Long Island City","NY","11106",40.7471515,-73.9775305
"Pizza Pro","Fairhope","AL","36532",30.5566378,-87.8932584
"Out of The Grey Cafe","Fairview","PA","16415",42.05512,-80.24745
"Zoup","Collegeville","PA","19426",40.16402,-75.48113
"Ravenna's I Pizza & Restaurant","Thomaston","CT","06787",NA,NA
"Philippe- Miami Beach","Miami Beach","FL","33139",25.769104,-80.133426
"Old Chicago","Bozeman","MT","59715",45.661764,-111.062662
"World Cafe","Bay City","MI","48708",43.598133,-83.8887
"Villa Pizza","Port Richey","FL","34668",NA,NA
"Annapurna Cuisine","Culver City","CA","90232",34.0186176,-118.4069157
"Nancy's Pizza","Chicago","IL","60657",41.935816,-87.644465
"Jackson's","Richmond","KY","40475",37.74704,-84.29734
"Fazoli's Charleston Sc - Hours Reviews & More","Charleston","SC","29407",32.801403,-80.018242
"Havana Beach Cafe","Montrose","CA","91020",34.2051934,-118.2263309
"Cafe Elite","Plano","TX","75093",33.01903,-96.79571
"Veggie House","Los Angeles","CA","90068",NA,NA
"Pepe's Mexican Restaurant","Schererville","IN","46375",NA,NA
"Taj Ii","Columbus","OH","43202",40.009624,-83.010506
"Olga's Naturally","","","90016",NA,NA
"Gingersnap's Organic","New York","NY","10011",NA,NA
"","Seattle","WA","98122",NA,NA
"","Chicago","IL","60604",NA,NA
"World Pizza","Seattle","WA","98104",NA,NA
"Fatz","Rockingham","NC","28379",34.955049,-79.7961538
"Sizzler","Huntington Park","CA","90255",33.975239,-118.234032
"Pasha's","Doral","FL","33126",NA,NA
"Bethlehem Co-op Planning Committee","Bethlehem","PA","18018",NA,NA
"","New York","NY","10012",40.7294264,-73.9996681
"Caf�� Barada","Cambridge","MA","02140",NA,NA
"","Indianapolis","IN","46205",NA,NA
"Lotus Cafe Fresh Express","Kailua-kona","HI","96740",19.610579,-155.97916
"Cafe Green","Washington","DC","20036",38.910194,-77.03849
"Pita Grill","New York","NY","10001",NA,NA
"Porch Swing Desserts","Houston","TX","77002",NA,NA
"G N & Rc Inc","Doral","FL","33178",25.811728,-80.35527
"","Seattle","WA","98115",47.68059,-122.32475
"Zoup! Fresh Soup Co","Glen Mills","PA","19342",NA,NA
"Teji's Indian Restaurant","Cedar Park","TX","78613",30.52967986,-97.81454469
"Mcalister's Deli","Charlotte","NC","28277",35.035198,-80.80483
"Jolly Pumpkin Cafe & Brewery","Ann Arbor","MI","48104",42.27915627,-83.74852557
"Snooty Frog","Cameron Park","CA","95682",38.65813,-120.97336
"Greenling Warehouse","Houston","TX","77079",NA,NA
"The Olive Branch Express","Grand Prairie","TX","75052",32.645412,-97.06191
"Fresh Produce Stand","Evansville","IN","47715",NA,NA
"Berwyn Cafe","College Park","MD","20740",38.9946895,-76.9256792
"Jasper's Giant Hamburgers","Fair Oaks","CA","95628",38.663425,-121.30689
"Fasika","Somerville","MA","02145",42.38827,-71.084885
"","Scituate","MA","02066",42.194992,-70.7251
"The Cider Press Cafe","Naples","FL","34110",26.27305,-81.76985
"","San Francisco","CA","94121",37.780018,-122.485016
"","Astoria","NY","11103",40.76577,-73.91899
"Mellow Yellow Restaurant","Chicago","IL","60615",41.79954088,-87.58870289
"","San Diego","CA","92103",NA,NA
"","Nashville","TN","37204",36.112,-86.7629
"Mazzio's Pizza","Arkadelphia","AR","71923",34.121275,-93.084101
"Maui Kombucha","Haiku","HI","96708",20.914211,-156.32356
"Healthful Essence","Atlanta","GA","30310",NA,NA
"","Los Angeles","CA","90036",NA,NA
"Arnold's Way","Lansdale","PA","19446",40.243805,-75.28703
"Hom","Charleston","SC","29403",32.79174,-79.94034
"Salsarita's","Hendersonville","TN","37075",36.331612,-86.623927
"","Wauwatosa","WI","53213",43.06055,-88.003204
"","Santa Monica","CA","90404",NA,NA
"Explorers Club","Columbus","OH","43207",39.929745,-82.99578
"Pizza Pro","Cleveland","TX","77327",30.318857,-94.996284
"Mr. Natural","","","78704",NA,NA
"Lisa's Bon Appetit","Torrance","CA","90505",33.803055,-118.34708
"Taco Cabana","Addison","TX","75001",32.953073,-96.8556232
"Sneaky Pickle","New Orleans","LA","70117",NA,NA
"Veggie Grill","El Segundo","CA","90245",NA,NA
"Govinda's Garden","Miami","FL","33009",NA,NA
"Wild Rabbit Cafe Health Bar","Flagler Beach","FL","32136",29.472628,-81.17773
"Lifeit","Greenville","SC","29607",NA,NA
"Gobo","Manhattan","NY","10028",40.775534,-73.956354
"Fit Food Express","Boca Raton","FL","33498",NA,NA
"Coco Greens","Nashville","TN","37203",NA,NA
"Greenery International Headquarters","Palisades","NY","10964",NA,NA
"The Greens","Richmond","CA","94801",NA,NA
"Cafe Antoine","San Clemente","CA","92672",33.426525,-117.61165
"","Chicago","IL","60657",41.9415,-87.66993
"The Brick Inn The Wall","Chicago","IL","60619",41.75068,-87.61494
"Fresh Brothers","Santa Monica","CA","90401",NA,NA
"Bpgh Beach","Pittsburgh","PA","15207",NA,NA
"Thai Spices","","","86336",NA,NA
"Whole Foods Trading","Cody","WY","82414",44.52541,-109.06209
"317 Aztec","Santa Fe","NM","87501",35.68551,-105.94473
"Wild Ginger","Huntingdon Valley","PA","19006",40.16673,-75.0636
"Zpizza","Alpharetta","GA","30004",34.08943629,-84.27461725
"","Provincetown","MA","02657",42.05254,-70.18491
"Sluggos North","Chattanooga","TN","37405",35.06703,-85.31507
"The Pita Pit","Ephrata","WA","98823",47.320988,-119.55112
"Whole Foods Market","Greensboro","NC","27408",36.083829,-79.829321
"Hanuman Thai Cuisine","San Jose","CA","95113",NA,NA
"Silence Heart-nest Restaurant","Seattle","WA","98105",47.6678,-122.31304
"Veggie Grill","Los Angeles","CA","90036",34.0733544,-118.360762
"Mr Jim's Pizza - Grand Prairie","Grand Prairie","TX","75050",32.763278,-97.028336
"Sansalone's Specialty Cakes","Austin","TX","78701",30.27625,-97.74916
"","Dallas","TX","75204",32.7967195,-96.7972482
"Asian Delights Cafe","Plano","TX","75075",33.04024,-96.73527
"Szechwan Garden","Lakewood","OH","44107",41.48554144,-81.787915
"Mr Natural","Austin","TX","78753",NA,NA
"Abel Blood's Pub Restaurant","Dover Foxcroft","ME","04426",NA,NA
"Loaf Ladle","Sandpoint","ID","83864",48.27232,-116.54922
"Market Bistro","Buckhannon","WV","26201",38.993732,-80.229836
"Austin Woodworks","Austin","TX","78702",30.25873,-97.69995
"Mazzio's Pizza","Brandon","MS","39047",32.356097,-90.0133479
"Lone Star Steakhouse & Saloon","Springfield","IL","62704",NA,NA
"Buck's Pizza","Edisto Island","SC","29438",32.503604,-80.298198
"Moberly Area Community College","Columbia","MO","65203",NA,NA
"Longhorn Steakhouse","Cincinnati","OH","45246",39.0837861,-84.5844808
"Green Tea","Saint Augustine","FL","32086",NA,NA
"Elgin Cafe","Elgin","IA","52141",42.95735,-91.63059
"Mikes Pizzeria","Brooklyn","NY","11229",40.6085513,-73.9572809
"Salt Bay Cafe","Damariscotta","ME","04543",44.033245,-69.53221
"Aioli","W Palm Beach","FL","33405",26.650072,-80.056175
"Taco Johns","Wagner","SD","57380",43.081592,-98.297763
"Mi Casita - Denton","Denton","TX","76205",33.187518,-97.108388
"","Gramercy","LA","70052",30.050133,-90.6847
"Taco Del Mar","Lake City","MN","55041",44.457025,-92.278155
"Nature's Wisdom","Idyllwild","CA","92549",33.74442,-116.71496
"Wok With You","Rochester","NY","14623",43.09182,-77.65783
"Spice Box Express - Stockbridge","Stockbridge","GA","30281",33.5134332,-84.2135512
"3 Potato 4 - Closed","New Orleans","LA","70116",29.960531,-90.058304
"Lone Star Steakhouse and Saloon","Boone","NC","28607",36.2069824,-81.6715291
"Big Al's Healthy Foods","Tulsa","OK","74112",36.14054,-95.94017
"Pizza Inn","Summerville","SC","29483",33.0262649,-80.1699777
"Zaxby's Waynesville Nc - Hours Reviews & More","Waynesville","NC","28786",35.495689,-82.985466
"Larry's Giant Subs","Jacksonville","FL","32256",30.215815,-81.515509
"Milio's Sandwiches","Osseo","MN","55311",45.087396,-93.517399
"Kumquat Mae Bakery Cafe - Moved","Watkinsville","GA","30606",33.947723,-83.44865
"Across The Street - Old Fourth Ward - Atlanta","Atlanta","GA","30312",33.761437,-84.364941
"Baker's Ribs","Greenville","TX","75402",33.04545,-96.17644
"Surf City Squeeze","Saratoga Springs","NY","12866",43.10299,-73.75047
"Grandy's","Plano","TX","75074",33.019657,-96.70747
"Green Papaya Cafe","Honolulu","HI","96817",21.31876,-157.86496
"Amelia's","Gainesville","FL","32601",29.64902,-82.32425
"Hannibal's Catering","Sacramento","CA","95834",NA,NA
"Live Island Cafe","Huntington","NY","11743",40.881157,-73.3963
"Basil Cafe","Appleton","WI","54914",44.275185,-88.41611
"Restaurant Allentown","Allentown","PA","18103",40.578376,-75.480573
"Baskin-robbins","N Hollywood","CA","91602",34.152488,-118.361088
"Rosati's of Barrington","Barrington","IL","60010",42.149742,-88.12532
"Sisters","Gainesville","FL","32608",29.606,-82.43951
"Pizza Pro","Rhome","TX","76078",33.04535,-97.47119
"Kit Fox","San Francisco","CA","94102",NA,NA
"Market On South","Orlando","FL","32803",NA,NA
"Taim Falafel and Smoothie Bar","New York","NY","10012",40.72204687,-73.99612784
"Greens and Beans","Southington","CT","06489",41.64951,-72.87052
"Integral Yoga Natural Foods","New York","NY","10011",NA,NA
"Amazing Cakes","Lakeville","MA","02347",NA,NA
"","Fredericksburg","VA","22401",NA,NA
"Salad Bar","Gulf Breeze","FL","32563",NA,NA
"Christine's Bean Sprout Juice Bar Cafe - Closed","Easthampton","MA","01027",42.26479,-72.66699
"Papa Ganache","","NJ","07735",NA,NA
"Jem's Natural Living & Cafe Jem's","Tampa","FL","33626",NA,NA
"Madeline's Truly Organic Kitchen","Portsmouth","NH","03801",43.076035,-70.76057
"Buffalo Bar","Idaho Springs","CO","80452",39.74193,-105.515625
"Veg Spot","Oak Ridge","TN","37830",NA,NA
"Ice Cream House (flatbush)","Brooklyn","NY","11210",NA,NA
"Picnic (food Cart)","Portland","OR","97232",NA,NA
"Thai Spice","Dallas","TX","75287",32.99578,-96.82963
"Veggieland Restaurant Inc","Atlanta","GA","30305",33.8369,-84.3808
"Circles Cantina","Brooklyn","NY","11209",40.6257648,-74.0241667
"Byo Pizza","Redondo Beach","CA","90278",NA,NA
"Caribou Shack","Philadelphia","PA","19104",NA,NA
"Mellow Mushroom Blacksburg","Blacksburg","VA","24060",37.22807,-80.41257
"Red Robin","Wilkes Barre","PA","18702",41.21913,-75.884805
"","Dallas","TX","75225",NA,NA
"Sol Food Natural Market","Arroyo Seco","NM","87514",36.51922,-105.56884
"Dukem Restaurant","Baltimore","MD","21201",NA,NA
"Juice Up: The Original Juice Cafe","Athens","GA","30601",NA,NA
"Gaia's Garden","Santa Rosa","CA","95401",NA,NA
"On The Border","Tallahassee","FL","32303",30.461758,-84.28154
"","Honolulu","HI","96814",NA,NA
"The Stand Juice Company","Westport","CT","06880",NA,NA
"Divvy","Carmel","IN","46032",39.970615,-86.128006
"New Kapadokia Restaurant","Redwood City","CA","94063",37.4863,-122.231
"Papalote San Francisco","San Francisco","CA","94117",37.7758,-122.446101
"Boston Market","Bloomfield Hills","MI","48304",42.603039,-83.263878
"Vocelli Pizza","Miami","FL","33144",25.761942,-80.332737
"Pizza Pro","Selman City","TX","75689",32.195228,-94.981865
"Cafe Organic","Fort Walton Beach","FL","32547",30.445926,-86.615972
"","Easton","PA","18045",NA,NA
"Noodle Kings","Fresno","CA","93702",36.735798,-119.75403
"Souper Salad","Arlington","TX","76011",32.756274,-97.09613
"Sweetology Sweetshop","Newark","DE","19711",39.716877,-75.70229
"Taqueria Cruz","Kihei","HI","96753",20.72026,-156.44698
"Tubby's Grilled Submarines","Ann Arbor","MI","48104",42.271651,-83.740834
"Fadi's Grill","Houston","TX","77063",29.737385,-95.513946
"Noodles Bar","Marina","CA","93933",36.687057,-121.79824
"Nyala Ethiopian Cuisine","Fort Collins","CO","80525",40.54886,-105.0758
"Eden Alley Cafe","Kansas City","MO","64112",39.04202374,-94.59484398
"Maoz Chicago","Rosemont","IL","60018",41.975494,-87.865974
"Beach Basket - Closed","Lexington","MI","48450",43.267487,-82.53094
"Pita Pit","Apopka","FL","32703",28.670969,-81.45455
"Casa De Luz","San Diego","CA","92104",32.74862311,-117.1307408
"Flavor Exchange The","Southern Pines","NC","28387",35.174507,-79.390544
"Natural Cafe","Goleta","CA","93117",NA,NA
"Viva Mexicana","Sebastopol","CA","95472",38.393673,-122.818504
"Nimai's Bliss Kitchen","Newburgh","NY","12550",41.49642,-74.021866
"New York Nick's Iii Deli","Brooklyn","NY","11223",40.596221,-73.979026
"Dan's Sandwich Shoppe - Midnite Pizza","Orlando","FL","32801",NA,NA
"Taco Cabana","Austin","TX","78745",30.324696,-97.70717
"Sweetgreen","Silver Spring","MD","20910",38.9951538,-77.0268273
"","Bangor","ME","04401",44.83845,-68.74293
"","Houston","TX","77024",29.78388,-95.53637
"Naan-nini","Princton","NJ","08542",NA,NA
"Grassroots Natural Market Kitchen","S Pasadena","CA","91030",34.11244,-118.15034
"Organic Avenue","New York","NY","10024",40.78518883,-73.9768476
"Green Medley","Moorestown Township","NJ","08057",NA,NA
"My Fit Foods","Houston","TX","77002",NA,NA
"New York Pizzeria","Houston","TX","77209",29.784279,-95.464983
"Tijuana Flats Burrito Co.","Fort Walton Beach","FL","32548",30.414593,-86.605385
"Zest Wishes","Pittsburgh","PA","15222",40.45044,-79.98661
"Togo's Eatery","Sacramento","CA","95825",38.595566,-121.408941
"Chop Stop","Louisville","KY","40202",38.255283,-85.757385
"Sweet Veggie","W Covina","CA","91748",NA,NA
"Mimi's Cafe","Fairfield","CA","94533",38.258983,-122.058769
"Indigos Fruit Smoothies","Winter Park","FL","32792",NA,NA
"Green Elephant","Portsmouth","NH","03801",43.078,-70.76127
"Pure Cold Press","Brookline","MA","02446",NA,NA
"Conscious Cravings","Austin","TX","78705",NA,NA
"14 Global","Bethany Beach","DE","19930",38.53568,-75.057045
"Qdoba Mexican Grill","Omaha","NE","68106",41.24864,-96.02235
"Pabla Indian Cuisine","Seattle","WA","98101",47.609485,-122.3390862
"The Amish Veggie Deli","Princeton","NJ","08540",NA,NA
"Sala Thai - Closed","Goodyear","AZ","85338",33.45214,-112.35976
"Native Foods","Washington","DC","20036",NA,NA
"Igo Vego","Madison","WI","53726",NA,NA
"Fazoli's","Amarillo","TX","79124",35.238433,-101.938464
"Good N Natural","Bronx","NY","10462",40.8557726,-73.8680797
"Uno Chicago Grill","Charlotte","NC","28203",35.217936,-80.852756
"Daniel Dean Heaton","Jefferson","SD","57038",NA,NA
"Noodles & Company","Indianapolis","IN","46202",NA,NA
"Madras Bhavan","Decatur","GA","30033",NA,NA
"Kit Fox","San Francisco","CA","94102",NA,NA
"Chowpatty Chat Co.","Houston","TX","77036",NA,NA
"Surf City Squeeze","Riverside","CA","92503",33.909805,-117.45711
"W G Grinders","Dayton","OH","45429",39.779297,-84.305103
"Chipotle Mexican Grill","Gilbert","AZ","85296",NA,NA
"Village Inn","Riverside","CA","92503",33.909388,-117.459891
"Qdoba Mexican Grill","Cambridge","MA","02140",NA,NA
"T-bones","Derry","NH","03038",42.888615,-71.32643
"Five Star Pizza","Mendon","MI","49072",42.007803,-85.449393
"","Montpelier","VT","05602",44.259113,-72.57656
"Old Chicago - Warehouse District","Minneapolis","MN","55403",44.980375,-93.274009
"Riverhouse Grill","Glen Rose","TX","76043",32.233395,-97.75669
"Pizza Inn","Weatherford","TX","76086",32.733027,-97.792683
"Qdoba Mexican Grill","Las Vegas","NV","89113",36.062,-115.243
"Visit Thai","San Francisco","CA","94117",37.7720698,-122.4309381
"Inaka Sushi House","Brooklyn","NY","11215",40.6698173,-73.9791203
"Corner Bakery Cafe","Overland Park","KS","66223",38.88152,-94.6634
"Real Taste of India","Monmouth","OR","97361",NA,NA
"Imo's Pizza","St Louis","MO","63103",38.632315,-90.208457
"Monical's Pizza","Woodruff","WI","54568",45.8931355,-89.6995717
"Cafe Krishna","Chandler","AZ","85226",33.305263,-111.927413
"The Cheesecake Factory","Fultondale","AL","35068",NA,NA
"Normandy Beach","Barnegat","NJ","08005",NA,NA
"Gojo Ethiopian Restaurant","Nashville","TN","37211",36.11089,-86.744286
"Marco's Pizza","Toledo","OH","43607",41.652998,-83.626467
"Cecilia Restaurant","Brooklyn","NY","11237",40.701032,-73.92231
"Emergency Locksmith","Brooklyn","NY","11209",40.623646,-74.030791
"Surf City Squeeze","Lakewood","CA","90712",33.852231,-118.13836
"Daphne's Greek Cafe","Moorpark","CA","93021",34.2808,-118.8659
"Tcby","Waterford","MI","48329",42.69973,-83.399305
"Sawatdee Thai Cuisine","Sherwood","OR","97140",45.3565074,-122.840098
"Barnes Restaurants","Savannah","GA","31404",32.027572,-81.09276
"","Shelburne Falls","MA","01370",42.603764,-72.739944
"Packers Oyster Bar","Blaine","WA","98230",NA,NA
"Sonny's Real Pit Bar-b-q","Doraville","GA","30340",NA,NA
"Organic Roots","Ely","MN","55731",47.902554,-91.86422
"Braum's Ice Cream & Dairy","Richardson","TX","75080",32.9755219,-96.7365208
"India Palace","Somerville","MA","02143",42.379381,-71.0944606
"Cafe Tu Tu Tango","Orange","CA","92868",33.78353,-117.89072
"Coffee Choices","Jackson","MN","56143",43.62098,-94.98762
"Georgio's Oven Fresh Pizza - Lakewood - Cleveland","Cleveland","OH","44107",41.485537,-81.787796
"Bbq King Restaurant","Richardson","TX","75081",32.947918,-96.730515
"Lone Star Steakhouse & Saloon","Dayton","OH","45427",NA,NA
"Tubby's Grilled Submarines","Warren","MI","48091",42.447372,-83.080379
"Flourish Baking Company","Scarsdale","NY","10583",40.977055,-73.80426
"Pisanello's Pizza","Liberty Center","OH","43532",41.44387,-84.007515
"Smoothie King","Monroe","LA","71201",32.533674,-92.109823
"Fresh Choice - Southfield","Southfield","MI","48075",42.476879,-83.246769
"India Oven","San Antonio","TX","78213",29.545233,-98.512245
"Cafe Gratitude","San Diego","CA","92101",32.7244911,-117.169899
"Ang An Eddies","Fond Du Lac","WI","54935",43.76401,-88.44754
"Blue Nile Restaurant & Lounge","Minneapolis","MN","55404",44.962733,-93.243658
"The Catskill Mountain Country Store and Restaurant","Windham","NY","12496",42.308365,-74.2607
"Lone Star Steakhouse & Saloon","Wayne","NJ","07470",40.8925879,-74.2639464
"The Silo Restaurant","Ottawa","IL","61350",41.29926,-88.84379
"Bui Vietnamese Cuisine","Manchester","CT","06040",41.769,-72.520836
"Wave Restaurant Cocktail & Elixir Bar","Los Angeles","CA","90048",34.076005,-118.376687
"Planet Smoothie","Honolulu","HI","96813",21.310267,-157.859398
"Pizza Ranch","Parkersburg","IA","50665",42.570237,-92.787035
"Corner Bakery Cafe","Cranston","RI","02920",41.76089282,-71.45805187
"","Sacramento","CA","95834",38.63787,-121.50423
"Watercress","Ithaca","NY","14850",42.487711,-76.489128
"Wok N' Grill - Closed","Boothbay Harbor","ME","04538",43.853645,-69.62451
"Grapes Beans Cafe","Clayton","GA","30525",34.878082,-83.40025
"New Best China Restaurant","Brooklyn","NY","11229",40.6099996,-73.957575
"Simple Simon's Pizza","Union Star","MO","64494",39.980873,-94.605238
"Antique Sandwich Co","Ruston","WA","98407",47.298725,-122.512844
"O'charley's","St Peters","MO","63376",38.7959792,-90.5747535
"The Original Italian Pie","New Orleans","LA","70123",29.944302,-90.18532
"Planet Smoothie","Atlanta","GA","30361",33.787367,-84.383405
"Peace Meal Cooperative","Silver City","NM","88061",32.772602,-108.27608
"Duffy's Tavern and Grille - Logan Square - Chicago","Chicago","IL","60639",41.931591,-87.732268
"Pizza Island","Brighton","MI","48116",NA,NA
"Hometown Buffet","Chico","CA","95928",39.724579,-121.811108
"\\""that Salad Place\\""","La Crosse","WI","54601",43.81224,-91.25298
"Imbibe","Portland","OR","97214",45.5120934,-122.6433194
"Counter (reported Closed)","Newyork","NY","10003",40.726678,-73.986177
"Matinee Cafe & Gifts","Baltimore","MD","21212",39.363344,-76.609844
"Gourmet Gourmet Catering Inc","Upland","CA","91786",NA,NA
"The Office Bistro - Cuyahoga Falls","Cuyahoga Falls","OH","44221",41.130819,-81.483789
"Mountain Mike's Pizza","Folsom","CA","95630",NA,NA
"Nice Cafe","Lawrence","KS","66044",38.96935,-95.235947
"Mithaas Restaurant","Edison","NJ","08820",40.5729,-74.3396
"Santa Fe Grill","Springfield","MO","65804",37.18052,-93.23231
"Viva La Vegan","Atlanta","GA","30310",NA,NA
"Maoz Vegetarian Central Park","New York","NY","10029",NA,NA
"New Harmony Vegetarian","","","19107",NA,NA
"Unity Vegan Kitchen","Austin","TX","78704",NA,NA
"Ethos Vegan Kitchen","Orlando","FL","32804",28.562722,-81.372981
"Vatica Indian Vegetarian Cuisine","Marietta","GA","30067",33.915997,-84.46991
"Cafe Paris Vegetarian","Brooklyn","NY","11204",40.633698,-73.982735
"Singapore Kosher Vegetarian","Philadelphia","PA","19107",NA,NA
"Sluggo's Vegetarian Cafe","Chattanooga","TN","37403",NA,NA
"Green Vegetarian Cuisine","San Antonio","TX","78215",29.4435196,-98.4801254
"Thai Vegan","Culver City","CA","90232",NA,NA
"Grateful Bread & Freakbeat Vegetarian","Lincoln","NE","68502",40.796637,-96.69663906
"Eden Vegetarian Caf","Bar Harbor","ME","04609",44.390205,-68.29313
